"ts_code","name"
"017165.OF","易米低碳经济A"
"017620.OF","鑫元添鑫回报6个月持有C"
"017083.OF","鹏华安锦一年持有A"
"017951.OF","汇添富纳斯达克生物科技联接美元现汇"
"018077.OF","光大优势C"
"018098.OF","博时富发纯债C"
"018076.OF","光大保德信健康优加C"
"018091.OF","博时利发纯债C"
"016243.OF","广发成长领航一年持有A"
"016244.OF","广发成长领航一年持有C"
"014449.OF","富国融丰两年定开A"
"014450.OF","富国融丰两年定开C"
"018082.OF","光大产业新动力C"
"018037.OF","泰康宏泰回报C"
"016111.OF","鹏华丰尊"
"017773.OF","大成消费主题C"
"008589.OF","大成景润C"
"018092.OF","兴银现金添利C"
"017772.OF","大成景阳领先C"
"017739.OF","大成财富管理2020C"
"018004.OF","广发优质生活C"
"017968.OF","华富科技动能C"
"018057.OF","金鹰行业优势C"
"016659.OF","兴华安裕利率债C"
"016658.OF","兴华安裕利率债A"
"018061.OF","汇添富中证上海国企ETF联接C"
"016884.OF","山西证券裕鑫180天持有C"
"017770.OF","博时信享一年持有C"
"016883.OF","山西证券裕鑫180天持有A"
"015735.OF","红塔红土信息产业精选C"
"018034.OF","国泰国证绿色电力联接A"
"018058.OF","汇添富深证300ETF联接C"
"015734.OF","红塔红土信息产业精选A"
"018035.OF","国泰国证绿色电力联接C"
"016855.OF","汇添富稳福60天滚动中短债B"
"017566.OF","惠升中债0-3年政策性金融债A"
"017769.OF","博时信享一年持有A"
"016834.OF","东方红共赢甄选一年持有A"
"016835.OF","东方红共赢甄选一年持有C"
"017567.OF","惠升中债0-3年政策性金融债C"
"017420.OF","易方达裕祥回报C"
"017202.OF","山西证券丰盈180天滚动持有中短债C"
"562550.SH","绿电ETF"
"014027.OF","易方达优选星汇六个月持有C"
"014026.OF","易方达优选星汇六个月持有A"
"017139.OF","国投瑞银顺立纯债"
"017660.OF","汇添富稳丰中短债7个月C"
"016660.OF","招商和惠养老2045五年持有"
"017414.OF","易方达安盈回报C"
"017143.OF","华宝远见回报C"
"016927.OF","诺德惠享稳健三个月持有"
"016045.OF","华商研究回报一年持有A"
"016978.OF","博时均衡优选A"
"017142.OF","华宝远见回报A"
"017201.OF","山西证券丰盈180天滚动持有中短债A"
"017651.OF","中航华证商飞高端制造产业主题A"
"017652.OF","中航华证商飞高端制造产业主题C"
"018040.OF","财通资管鑫锐E"
"016046.OF","华商研究回报一年持有C"
"018041.OF","财通资管鑫逸E"
"017659.OF","汇添富稳丰中短债7个月A"
"016979.OF","博时均衡优选C"
"016759.OF","东吴添利三个月定开A"
"017799.OF","易方达恒固18个月C"
"017087.OF","嘉实ESG可持续投资C"
"017798.OF","易方达恒固18个月A"
"017086.OF","嘉实ESG可持续投资A"
"017796.OF","合煦智远稳进纯债A"
"017915.OF","中海消费主题精选C"
"017921.OF","中海医疗保健C"
"017797.OF","合煦智远稳进纯债C"
"016760.OF","东吴添利三个月定开C"
"159653.SZ","ESG300ETF"
"018023.OF","华商上游产业C"
"017509.OF","红土创新丰睿中短债A"
"017879.OF","华安匠心甄选C"
"017556.OF","招商安凯"
"017878.OF","华安匠心甄选A"
"159689.SZ","中证消费ETF"
"017942.OF","银华尊和养老目标日期2045三年持有Y"
"017510.OF","红土创新丰睿中短债C"
"018003.OF","南方兴盛先锋C"
"017436.OF","华宝纳斯达克精选A"
"018008.OF","大成优选C"
"017103.OF","大摩数字经济C"
"016606.OF","财通资管臻享成长C"
"561170.SH","绿电50ETF"
"017966.OF","华富竞争力优选C"
"017920.OF","中欧中证1000指数增强C"
"016582.OF","嘉实上海金联接C"
"017969.OF","华富产业升级C"
"018009.OF","长盛医疗行业C"
"016135.OF","嘉实优势成长C"
"018010.OF","长盛电子信息产业C"
"017437.OF","华宝纳斯达克精选C"
"016605.OF","财通资管臻享成长A"
"017102.OF","大摩数字经济A"
"017919.OF","中欧中证1000指数增强A"
"016581.OF","嘉实上海金联接A"
"014699.OF","东方高端制造A"
"014700.OF","东方高端制造C"
"017412.OF","创金合信中证科创创业50指数增强A"
"017413.OF","创金合信中证科创创业50指数增强C"
"017424.OF","华泰紫金先进制造A"
"017048.OF","富安达产业优选A"
"017939.OF","上银慧增利A"
"017940.OF","上银慧增利E"
"015984.OF","金鹰碳中和A"
"513110.SH","纳斯达克100ETF"
"017425.OF","华泰紫金先进制造C"
"008577.OF","财通碳中和一年持有C"
"017935.OF","国泰君安远见价值A"
"017934.OF","国泰君安高端装备C"
"017997.OF","万家沪深300成长联接C"
"016985.OF","英大延福养老2035三年持有"
"017996.OF","万家沪深300成长联接A"
"016997.OF","创金合信产业臻选平衡A"
"016998.OF","创金合信产业臻选平衡C"
"017704.OF","兴业同业存单指数7天持有"
"017851.OF","交银启信C"
"017793.OF","国联安聚利39个月纯债"
"015985.OF","金鹰碳中和C"
"017049.OF","富安达产业优选C"
"017492.OF","诺安货币D"
"017933.OF","国泰君安高端装备A"
"017850.OF","交银启信A"
"017164.OF","英大延福养老2060三年持有"
"016922.OF","英大延福养老2055三年持有"
"017936.OF","国泰君安远见价值C"
"008576.OF","财通碳中和一年持有A"
"017421.OF","天弘安康颐睿一年持有A"
"017844.OF","兴证全球优选积极三个月持有A"
"017717.OF","嘉实多盈A"
"017232.OF","工银瑞信稳润一年持有A"
"017718.OF","嘉实多盈C"
"017803.OF","富国汇诚18个月A"
"017804.OF","富国汇诚18个月C"
"017422.OF","天弘安康颐睿一年持有C"
"017737.OF","融通慧心A"
"017979.OF","交银国企改革C"
"017863.OF","华夏中证100联接C"
"018005.OF","光大新增长C"
"017925.OF","国金沪深300指数增强C"
"017639.OF","景顺长城景气优选一年持有A"
"017640.OF","景顺长城景气优选一年持有C"
"017233.OF","工银瑞信稳润一年持有C"
"017707.OF","建信阿尔法一年持有"
"017862.OF","华夏中证100联接A"
"016711.OF","贝莱德欣悦丰利A"
"017860.OF","景顺长城致远A"
"015369.OF","国泰君安领航成长一年持有C"
"016026.OF","渤海汇金汇鑫益3个月定开"
"017216.OF","国投瑞银策略智选A"
"017217.OF","国投瑞银策略智选C"
"017845.OF","兴证全球优选积极三个月持有C"
"017738.OF","融通慧心C"
"015368.OF","国泰君安领航成长一年持有A"
"016712.OF","贝莱德欣悦丰利C"
"017861.OF","景顺长城致远C"
"017947.OF","国富港股通远见价值C"
"017956.OF","汇添富稳瑞30天滚动中短债D"
"560090.SH","证券指数ETF"
"017085.OF","南方浩祥3个月持有"
"016718.OF","中银中短债C"
"017955.OF","汇添富稳瑞30天滚动中短债B"
"016717.OF","中银中短债A"
"017995.OF","华宝事件驱动C"
"016547.OF","大成盛享一年持有A"
"017872.OF","汇添富收益快钱E"
"017930.OF","华泰柏瑞交易货币D"
"017042.OF","富国碳中和C"
"017041.OF","富国碳中和A"
"017820.OF","鹏华丰利C"
"016548.OF","大成盛享一年持有C"
"018007.OF","招商瑞利C"
"017776.OF","平安合顺1年定开"
"017857.OF","西藏东财时代优选A"
"017858.OF","西藏东财时代优选C"
"017957.OF","汇添富稳健鑫添益六个月持有C"
"017842.OF","农银汇理景气优选A"
"017808.OF","南方恒泽18个月C"
"017967.OF","华富新能源C"
"017843.OF","农银汇理景气优选C"
"017442.OF","华商鸿悦纯债"
"017944.OF","财通资管鸿利中短债E"
"017807.OF","南方恒泽18个月A"
"159657.SZ","生物疫苗ETF"
"012482.OF","泓德医疗创新一年封闭C"
"016036.OF","汇添富鑫添盈一年持有A"
"012481.OF","泓德医疗创新一年封闭A"
"016037.OF","汇添富鑫添盈一年持有C"
"017874.OF","国金量化多策略C"
"016866.OF","华泰紫金中证500指数增强C"
"016865.OF","华泰紫金中证500指数增强A"
"016765.OF","百嘉百盈纯债"
"017811.OF","东方人工智能主题C"
"017693.OF","国泰君安安平一年定开"
"017800.OF","招商恒鑫30个月"
"560860.SH","工业有色ETF"
"017941.OF","国投瑞银国家安全C"
"017599.OF","华夏景气驱动C"
"017061.OF","兴业聚福一年持有C"
"017598.OF","华夏景气驱动A"
"017892.OF","鹏华国证2000指数增强A"
"017945.OF","富国安益C"
"017719.OF","华夏消费臻选A"
"017720.OF","华夏消费臻选C"
"017612.OF","泰达宏利复兴伟业C"
"017893.OF","鹏华国证2000指数增强C"
"014223.OF","汇添富核心优选六个月持有C"
"014222.OF","汇添富核心优选六个月持有A"
"017060.OF","兴业聚福一年持有A"
"017716.OF","华宝量化选股C"
"017715.OF","华宝量化选股A"
"017584.OF","鑫元聚鑫收益增强D"
"017927.OF","华商新动力C"
"017744.OF","嘉实绿色主题A"
"017745.OF","嘉实绿色主题C"
"015913.OF","华夏鼎安一年定开"
"016220.OF","华夏聚锐优选三个月持有C"
"016219.OF","华夏聚锐优选三个月持有A"
"017415.OF","中泰元和价值精选A"
"159671.SZ","稀有金属ETF基金"
"017416.OF","中泰元和价值精选C"
"017900.OF","鹏华医药科技C"
"016222.OF","华夏聚恒优选三个月持有C"
"015992.OF","长城鑫利30天滚动中短债C"
"016221.OF","华夏聚恒优选三个月持有A"
"015991.OF","长城鑫利30天滚动中短债A"
"015962.OF","中融添安稳健养老一年持有"
"563030.SH","中证500ETF增强"
"017885.OF","长城久润C"
"017203.OF","信诚薪金宝E"
"017712.OF","浦银安盛货币D"
"014168.OF","华安慧心楚选配置三年持有A"
"014169.OF","华安慧心楚选配置三年持有C"
"017916.OF","国寿安保成长优选C"
"562860.SH","疫苗ETF"
"017904.OF","博时景发纯债C"
"017926.OF","景顺长城政策性金融债C"
"017790.OF","鹏华永瑞一年A"
"016376.OF","易米和丰A"
"008329.OF","泰达宏利添盈两年定开A"
"017456.OF","建信宁安30天持有中短债A"
"016377.OF","易米和丰C"
"016999.OF","上银聚嘉益一年定开"
"017929.OF","前海开源沪港深新机遇C"
"017901.OF","国寿安保养老目标日期2030三年持有Y"
"016577.OF","中银创新成长A"
"017910.OF","博时富悦纯债C"
"017791.OF","鹏华永瑞一年C"
"017909.OF","国寿安保稳健养老一年Y"
"017457.OF","建信宁安30天持有中短债C"
"016578.OF","中银创新成长C"
"017722.OF","华夏汽车产业C"
"017721.OF","华夏汽车产业A"
"008330.OF","泰达宏利添盈两年定开C"
"016253.OF","华夏景气成长一年持有C"
