"ts_code","symbol","name","area","industry","market","list_date"
"002853.SZ","002853","皮阿诺","广东","家居用品","中小板","20170310"
"002855.SZ","002855","捷荣技术","广东","元器件","中小板","20170321"
"002856.SZ","002856","美芝股份","深圳","装修装饰","中小板","20170320"
"002857.SZ","002857","三晖电气","河南","电器仪表","中小板","20170323"
"002858.SZ","002858","力盛体育","上海","文教休闲","中小板","20170324"
"002859.SZ","002859","洁美科技","浙江","元器件","中小板","20170407"
"002860.SZ","002860","星帅尔","浙江","家用电器","中小板","20170412"
"002861.SZ","002861","瀛通通讯","湖北","通信设备","中小板","20170413"
"002862.SZ","002862","实丰文化","广东","文教休闲","中小板","20170411"
"002863.SZ","002863","今飞凯达","浙江","汽车配件","中小板","20170418"
"002864.SZ","002864","盘龙药业","陕西","中成药","中小板","20171116"
"002865.SZ","002865","钧达股份","海南","电气设备","中小板","20170425"
"002866.SZ","002866","传艺科技","江苏","IT设备","中小板","20170426"
"002867.SZ","002867","周大生","深圳","服饰","中小板","20170427"
"002868.SZ","002868","绿康生化","福建","农业综合","中小板","20170503"
"002869.SZ","002869","金溢科技","深圳","通信设备","中小板","20170515"
"002870.SZ","002870","香山股份","广东","汽车配件","中小板","20170515"
"002871.SZ","002871","伟隆股份","山东","机械基件","中小板","20170511"
"002872.SZ","002872","ST天圣","重庆","医药商业","中小板","20170519"
"002873.SZ","002873","新天药业","贵州","中成药","中小板","20170519"
"002875.SZ","002875","安奈儿","深圳","服饰","中小板","20170601"
"002876.SZ","002876","三利谱","深圳","元器件","中小板","20170525"
"002877.SZ","002877","智能自控","江苏","机械基件","中小板","20170605"
"002878.SZ","002878","元隆雅图","北京","文教休闲","中小板","20170606"
"002879.SZ","002879","长缆科技","湖南","电气设备","中小板","20170707"
"002880.SZ","002880","卫光生物","深圳","生物制药","中小板","20170616"
"002881.SZ","002881","美格智能","深圳","通信设备","中小板","20170622"
"002882.SZ","002882","金龙羽","深圳","电气设备","中小板","20170717"
"002883.SZ","002883","中设股份","江苏","建筑工程","中小板","20170620"
